11:11:22 p2 | C a2 mny-5 (real -4.69) 771/773 | mid 0.040 spr 50.0% | C:NO_LLENA None 20.3s | V:None None Nones | ida-vuelta None$
11:11:50 p2 | P a2 mny-5 (real -5.31) 761/759 | mid 0.060 spr 33.3% | C:NO_LLENA None 20.2s | V:None None Nones | ida-vuelta None$
11:12:14 p2 | P a3 mny-5 (real -5.31) 761/758 | mid 0.080 spr 25.0% | C:Filled 0.08 15.2s | V:FORZADO 0.060000000000000005 16.2s | ida-vuelta -2.0$
11:12:57 p2 | P a4 mny-5 (real -5.31) 761/757 | mid 0.090 spr 22.2% | C:Filled 0.07 14.7s | V:FORZADO 0.05 16.1s | ida-vuelta -2.0$
11:13:38 p2 | C a2 mny-3 (real -2.69) 769/771 | mid 0.170 spr 11.8% | C:NO_LLENA None 20.2s | V:None None Nones | ida-vuelta None$
11:14:02 p2 | P a2 mny-3 (real -3.31) 763/761 | mid 0.170 spr 11.8% | C:Filled 0.11 3.5s | V:FORZADO 0.11 16.1s | ida-vuelta 0.0$
11:14:47 p2 | P a3 mny-3 (real -2.96) 764/761 | mid 0.250 spr 8.0% | C:Filled 0.25 4.5s | V:FORZADO 0.27999999999999997 16.9s | ida-vuelta 3.0$
11:15:22 p2 | P a4 mny-3 (real -2.96) 764/760 | mid 0.280 spr 7.1% | C:Filled 0.28 1.0s | V:FORZADO 0.27 16.1s | ida-vuelta -1.0$
11:15:49 p2 | P a2 mny-1 (real -0.96) 766/764 | mid 0.480 spr 4.2% | C:NO_LLENA None 20.3s | V:None None Nones | ida-vuelta None$
11:16:14 p2 | P a3 mny-1 (real -0.96) 766/763 | mid 0.610 spr 3.3% | C:NO_LLENA None 20.3s | V:None None Nones | ida-vuelta None$
11:16:39 p2 | P a4 mny-1 (real -0.96) 766/762 | mid 0.680 spr 2.9% | C:Filled 0.78 1.5s | V:FORZADO 0.7 16.2s | ida-vuelta -8.0$
11:17:06 p2 | P a2 mny+0 (real +0.04) 767/765 | mid 0.700 spr 2.9% | C:Filled 0.76 1.5s | V:FORZADO 0.76 16.1s | ida-vuelta 0.0$
11:18:35 p2 | P a3 mny+1 (real +1.23) 768/765 | mid 1.230 spr 3.3% | C:Filled 1.25 4.6s | V:FORZADO 1.1500000000000001 17.3s | ida-vuelta -10.0$
11:19:11 p2 | C a4 mny+1 (real +0.77) 766/770 | mid 1.470 spr 1.4% | C:Filled 1.52 3.6s | V:FORZADO 1.52 16.2s | ida-vuelta 0.0$
11:19:40 p2 | P a4 mny+1 (real +1.23) 768/764 | mid 1.410 spr 2.8% | C:Filled 1.39 2.6s | V:FORZADO 1.48 17.4s | ida-vuelta 9.0$
11:20:10 p2 | C a2 mny+2 (real +1.77) 765/767 | mid 1.330 spr 3.0% | C:NO_LLENA None 20.3s | V:None None Nones | ida-vuelta None$
11:20:35 p2 | P a2 mny+2 (real +2.23) 769/767 | mid 1.280 spr 3.1% | C:Filled 1.39 2.0s | V:FORZADO 1.41 16.1s | ida-vuelta 2.0$
11:21:03 p2 | C a3 mny+2 (real +1.77) 765/768 | mid 1.770 spr 2.3% | C:Filled 1.61 1.5s | V:FORZADO None 24.2s | ida-vuelta None$
11:22:53 p2 | C a2 mny+5 (real +5.26) 761/763 | mid 1.840 spr 3.3% | C:NO_LLENA None 20.2s | V:None None Nones | ida-vuelta None$
11:23:21 p2 | C a3 mny+5 (real +5.26) 761/764 | mid 2.680 spr 2.2% | C:NO_LLENA None 20.3s | V:None None Nones | ida-vuelta None$
11:23:45 p2 | C a4 mny+5 (real +5.26) 761/765 | mid 3.435 spr 1.5% | C:NO_LLENA None 20.2s | V:None None Nones | ida-vuelta None$
11:24:10 p2 | C a2 mny+10 (real +10.26) 756/758 | mid 1.985 spr 22.7% | C:NO_LLENA None 20.3s | V:None None Nones | ida-vuelta None$
11:24:35 p2 | C a3 mny+10 (real +10.26) 756/759 | mid 2.985 spr 14.4% | C:NO_LLENA None 20.2s | V:None None Nones | ida-vuelta None$
11:24:59 p2 | C a4 mny+10 (real +10.26) 756/760 | mid 3.985 spr 9.8% | C:NO_LLENA None 20.2s | V:None None Nones | ida-vuelta None$
11:25:38 p2 | C a2 mny+20 (real +20.29) 746/748 | mid 1.995 spr 16.5% | C:NO_LLENA None 20.2s | V:None None Nones | ida-vuelta None$
11:26:06 p2 | C a3 mny+20 (real +20.29) 746/749 | mid 2.450 spr 62.0% | C:NO_LLENA None 20.2s | V:None None Nones | ida-vuelta None$
11:26:31 p2 | C a4 mny+20 (real +20.29) 746/750 | mid 3.995 spr 8.3% | C:NO_LLENA None 20.2s | V:None None Nones | ida-vuelta None$
11:27:26 p3 | P a3 mny-5 (real -5.28) 761/758 | mid 0.050 spr 40.0% | C:NO_LLENA None 20.2s | V:None None Nones | ida-vuelta None$
11:27:54 p3 | P a4 mny-5 (real -5.28) 761/757 | mid 0.050 spr 40.0% | C:NO_LLENA None 20.3s | V:None None Nones | ida-vuelta None$
11:28:19 p3 | P a2 mny-3 (real -3.28) 763/761 | mid 0.120 spr 16.7% | C:Filled 0.1 3.5s | V:FORZADO 0.10999999999999999 41.2s | ida-vuelta 1.0$
11:29:14 p3 | P a3 mny-3 (real -3.28) 763/760 | mid 0.140 spr 14.3% | C:Filled 0.12 6.6s | V:FORZADO 0.12000000000000001 16.1s | ida-vuelta 0.0$
11:29:47 p3 | P a4 mny-3 (real -3.28) 763/759 | mid 0.160 spr 12.5% | C:Filled 0.13 11.1s | V:FORZADO 0.10999999999999999 16.1s | ida-vuelta -2.0$
11:30:26 p3 | P a2 mny-1 (real -1.28) 765/763 | mid 0.340 spr 5.9% | C:NO_LLENA None 20.3s | V:None None Nones | ida-vuelta None$
11:33:32 p3 | C a4 mny+2 (real +1.61) 765/769 | mid 1.610 spr 2.5% | C:Filled 1.6 1.5s | V:FORZADO 1.51 16.1s | ida-vuelta -9.0$
11:34:03 p3 | P a4 mny+2 (real +2.39) 769/765 | mid 2.375 spr 1.3% | C:Filled 2.45 18.8s | V:FORZADO 2.4 16.1s | ida-vuelta -5.0$
11:34:50 p3 | C a2 mny+3 (real +2.61) 764/766 | mid 1.385 spr 3.6% | C:Filled 1.36 11.6s | V:FORZADO 1.36 16.1s | ida-vuelta 0.0$
11:35:27 p3 | P a2 mny+3 (real +3.39) 770/768 | mid 1.690 spr 8.3% | C:NO_LLENA None 20.2s | V:None None Nones | ida-vuelta None$
11:35:52 p3 | C a3 mny+3 (real +2.61) 764/767 | mid 1.875 spr 2.7% | C:Filled 1.77 2.0s | V:FORZADO 1.74 17.1s | ida-vuelta -3.0$
11:36:21 p3 | P a3 mny+3 (real +3.39) 770/767 | mid 2.370 spr 5.1% | C:Filled 2.52 12.1s | V:FORZADO 2.4000000000000004 16.1s | ida-vuelta -12.0$
11:37:23 p3 | C a2 mny+5 (real +4.86) 761/763 | mid 1.840 spr 3.3% | C:NO_LLENA None 20.2s | V:None None Nones | ida-vuelta None$
11:37:50 p3 | C a3 mny+5 (real +4.86) 761/764 | mid 2.680 spr 2.2% | C:Filled 2.72 1.0s | V:FORZADO 2.66 16.3s | ida-vuelta -6.0$
11:38:17 p3 | C a2 mny+10 (real +9.86) 756/758 | mid 2.005 spr 25.4% | C:NO_LLENA None 20.2s | V:None None Nones | ida-vuelta None$
11:38:42 p3 | C a3 mny+10 (real +9.86) 756/759 | mid 2.985 spr 15.7% | C:NO_LLENA None 20.2s | V:None None Nones | ida-vuelta None$
11:39:07 p3 | C a4 mny+10 (real +9.86) 756/760 | mid 3.950 spr 9.1% | C:NO_LLENA None 20.2s | V:None None Nones | ida-vuelta None$
11:39:32 p3 | C a2 mny+20 (real +19.86) 746/748 | mid 1.990 spr 26.1% | C:NO_LLENA None 20.2s | V:None None Nones | ida-vuelta None$
11:40:27 p3 | C a4 mny+20 (real +19.56) 746/750 | mid 4.000 spr 10.0% | C:NO_LLENA None 20.3s | V:None None Nones | ida-vuelta None$
