════════════════════════════════════════════════════════════
🔔 2026-08-19 15:20:10 | ARRANQUE | ARRANQUE del sistema vivo — 2026-08-19 (0DTE 20260819)
════════════════════════════════════════════════════════════
2026-08-19 15:20:10 | DATA   | IBKR conectando a 127.0.0.1:4002 clientId=17
════════════════════════════════════════════════════════════
🔔 2026-08-19 15:20:11 | IBKR | IBKR conectado (paper 4002)
════════════════════════════════════════════════════════════
════════════════════════════════════════════════════════════
🔔 2026-08-19 15:20:11 | ARRANQUE | Autocalibra: saldo=1497 nivel=10 ancho=4 tope=250 unidades=1
════════════════════════════════════════════════════════════
════════════════════════════════════════════════════════════
🔔 2026-08-19 15:20:11 | ARRANQUE | BACKFILL de arranque (SPY premarket + ETF + día anterior)
════════════════════════════════════════════════════════════
2026-08-19 15:41:07 | DATA   | cadena 20260819: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 769.21)
2026-08-19 15:41:07 | DATA   | cadena persistida 2026-08-19 15:41: 82 filas (fuente=live)
2026-08-19 15:42:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-19 15:42:07 | DATA   | cadena 20260819: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 769.26)
2026-08-19 15:42:07 | DATA   | cadena persistida 2026-08-19 15:42: 82 filas (fuente=live)
2026-08-19 15:43:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-19 15:43:07 | DATA   | cadena 20260819: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 769.17)
2026-08-19 15:43:07 | DATA   | cadena persistida 2026-08-19 15:43: 82 filas (fuente=live)
2026-08-19 15:44:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-19 15:44:06 | DATA   | cadena 20260819: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 769.08)
2026-08-19 15:44:06 | DATA   | cadena persistida 2026-08-19 15:44: 82 filas (fuente=live)
2026-08-19 15:45:01 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-19 15:45:06 | DATA   | cadena 20260819: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 769.00)
2026-08-19 15:45:06 | DATA   | cadena persistida 2026-08-19 15:45: 82 filas (fuente=live)
2026-08-19 15:46:01 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-19 15:46:06 | DATA   | cadena 20260819: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.86)
2026-08-19 15:46:06 | DATA   | cadena persistida 2026-08-19 15:46: 82 filas (fuente=live)
2026-08-19 15:46:06 | SENAL  | señal 15:45 P (ST-3 NORMAL) -> limite_ops
2026-08-19 15:47:01 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-19 15:47:06 | DATA   | cadena 20260819: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.73)
2026-08-19 15:47:06 | DATA   | cadena persistida 2026-08-19 15:47: 82 filas (fuente=live)
2026-08-19 15:48:01 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-19 15:48:06 | DATA   | cadena 20260819: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.81)
2026-08-19 15:48:06 | DATA   | cadena persistida 2026-08-19 15:48: 82 filas (fuente=live)
2026-08-19 15:49:01 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-19 15:49:05 | DATA   | cadena 20260819: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.72)
2026-08-19 15:49:05 | DATA   | cadena persistida 2026-08-19 15:49: 82 filas (fuente=live)
2026-08-19 15:50:00 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-19 15:50:05 | DATA   | cadena 20260819: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.76)
2026-08-19 15:50:05 | DATA   | cadena persistida 2026-08-19 15:50: 82 filas (fuente=live)
2026-08-19 15:51:00 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-19 15:51:05 | DATA   | cadena 20260819: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.45)
2026-08-19 15:51:05 | DATA   | cadena persistida 2026-08-19 15:51: 82 filas (fuente=live)
2026-08-19 15:52:00 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-19 15:52:04 | DATA   | cadena 20260819: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.44)
2026-08-19 15:52:04 | DATA   | cadena persistida 2026-08-19 15:52: 82 filas (fuente=live)
2026-08-19 15:53:00 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-19 15:53:04 | DATA   | cadena 20260819: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.50)
2026-08-19 15:53:04 | DATA   | cadena persistida 2026-08-19 15:53: 82 filas (fuente=live)
2026-08-19 15:54:04 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-19 15:54:09 | DATA   | cadena 20260819: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.59)
2026-08-19 15:54:09 | DATA   | cadena persistida 2026-08-19 15:54: 82 filas (fuente=live)
2026-08-19 15:55:04 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-19 15:55:09 | DATA   | cadena 20260819: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.72)
2026-08-19 15:55:09 | DATA   | cadena persistida 2026-08-19 15:55: 82 filas (fuente=live)
2026-08-19 15:56:04 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-19 15:56:09 | DATA   | cadena 20260819: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.29)
2026-08-19 15:56:09 | DATA   | cadena persistida 2026-08-19 15:56: 82 filas (fuente=live)
2026-08-19 15:57:04 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-19 15:57:09 | DATA   | cadena 20260819: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.46)
2026-08-19 15:57:09 | DATA   | cadena persistida 2026-08-19 15:57: 82 filas (fuente=live)
2026-08-19 15:58:04 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-19 15:58:08 | DATA   | cadena 20260819: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.72)
2026-08-19 15:58:08 | DATA   | cadena persistida 2026-08-19 15:58: 82 filas (fuente=live)
2026-08-19 15:59:03 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-19 15:59:08 | DATA   | cadena 20260819: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.83)
2026-08-19 15:59:08 | DATA   | cadena persistida 2026-08-19 15:59: 82 filas (fuente=live)
════════════════════════════════════════════════════════════
🔔 2026-08-19 16:00:03 | FIN | Cierre de mercado — fin de sesión
════════════════════════════════════════════════════════════
2026-08-19 16:00:03 | DATA   | IBKR desconectado
