=== NOTIF === 2026-08-18 09:09:30 | ARRANQUE | ARRANQUE del sistema vivo — 2026-08-18 (0DTE 20260818)
2026-08-18 09:55:08 | DATA   | cadena persistida 2026-08-18 09:55: 82 filas (fuente=live)
2026-08-18 09:55:08 | SENAL  | señal 09:54 P (ST-3 NORMAL) -> sin_contrato
2026-08-18 09:56:03 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 09:56:07 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.18)
2026-08-18 09:56:07 | DATA   | cadena persistida 2026-08-18 09:56: 82 filas (fuente=live)
2026-08-18 09:57:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 09:57:07 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.78)
2026-08-18 09:57:07 | DATA   | cadena persistida 2026-08-18 09:57: 82 filas (fuente=live)
2026-08-18 09:58:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 09:58:07 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.52)
2026-08-18 09:58:07 | DATA   | cadena persistida 2026-08-18 09:58: 82 filas (fuente=live)
2026-08-18 09:59:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 09:59:06 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.63)
2026-08-18 09:59:06 | DATA   | cadena persistida 2026-08-18 09:59: 82 filas (fuente=live)
2026-08-18 10:00:01 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:00:06 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.47)
2026-08-18 10:00:06 | DATA   | cadena persistida 2026-08-18 10:00: 82 filas (fuente=live)
2026-08-18 10:01:01 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:01:06 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.44)
2026-08-18 10:01:06 | DATA   | cadena persistida 2026-08-18 10:01: 82 filas (fuente=live)
2026-08-18 10:02:01 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:02:05 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.57)
2026-08-18 10:02:05 | DATA   | cadena persistida 2026-08-18 10:02: 82 filas (fuente=live)
2026-08-18 10:03:00 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:03:05 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.95)
2026-08-18 10:03:05 | DATA   | cadena persistida 2026-08-18 10:03: 82 filas (fuente=live)
2026-08-18 10:04:00 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:04:05 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.85)
2026-08-18 10:04:05 | DATA   | cadena persistida 2026-08-18 10:04: 82 filas (fuente=live)
2026-08-18 10:05:00 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:05:04 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.97)
2026-08-18 10:05:04 | DATA   | cadena persistida 2026-08-18 10:05: 82 filas (fuente=live)
2026-08-18 10:06:04 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:06:09 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.49)
2026-08-18 10:06:09 | DATA   | cadena persistida 2026-08-18 10:06: 82 filas (fuente=live)
2026-08-18 10:07:04 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:07:08 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.73)
2026-08-18 10:07:08 | DATA   | cadena persistida 2026-08-18 10:07: 82 filas (fuente=live)
2026-08-18 10:08:04 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:08:08 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 769.10)
2026-08-18 10:08:08 | DATA   | cadena persistida 2026-08-18 10:08: 82 filas (fuente=live)
2026-08-18 10:09:03 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:09:08 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.85)
2026-08-18 10:09:08 | DATA   | cadena persistida 2026-08-18 10:09: 82 filas (fuente=live)
2026-08-18 10:10:03 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:10:08 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.54)
2026-08-18 10:10:08 | DATA   | cadena persistida 2026-08-18 10:10: 82 filas (fuente=live)
2026-08-18 10:11:03 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:11:07 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.28)
2026-08-18 10:11:07 | DATA   | cadena persistida 2026-08-18 10:11: 82 filas (fuente=live)
2026-08-18 10:12:03 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:12:07 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 767.86)
2026-08-18 10:12:07 | DATA   | cadena persistida 2026-08-18 10:12: 82 filas (fuente=live)
2026-08-18 10:13:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:13:07 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 767.71)
2026-08-18 10:13:07 | DATA   | cadena persistida 2026-08-18 10:13: 82 filas (fuente=live)
2026-08-18 10:14:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:14:06 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 767.97)
2026-08-18 10:14:06 | DATA   | cadena persistida 2026-08-18 10:14: 82 filas (fuente=live)
2026-08-18 10:15:01 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:15:06 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.09)
2026-08-18 10:15:06 | DATA   | cadena persistida 2026-08-18 10:15: 82 filas (fuente=live)
2026-08-18 10:16:01 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:16:06 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.55)
2026-08-18 10:16:06 | DATA   | cadena persistida 2026-08-18 10:16: 82 filas (fuente=live)
2026-08-18 10:17:01 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:17:05 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.59)
2026-08-18 10:17:05 | DATA   | cadena persistida 2026-08-18 10:17: 82 filas (fuente=live)
2026-08-18 10:18:00 | DATA   | backfill SPY 120 S 1 min useRTH=False
Error 10349, reqId 15192: Order TIF was set to DAY based on order preset.
Canceled order: Trade(contract=Contract(secType='BAG', symbol='SPY', exchange='SMART', currency='USD', comboLegs=[ComboLeg(conId=908218863, ratio=1, action='BUY', exchange='SMART', openClose=0, shortSaleSlot=0, designatedLocation='', exemptCode=-1), ComboLeg(conId=908218953, ratio=1, action='SELL', exchange='SMART', openClose=0, shortSaleSlot=0, designatedLocation='', exemptCode=-1)]), order=LimitOrder(orderId=15192, clientId=17, action='BUY', totalQuantity=1, lmtPrice=1.02), orderStatus=OrderStatus(orderId=15192, status='Cancelled', filled=0.0, remaining=0.0, avgFillPrice=0.0, permId=0, parentId=0, lastFillPrice=0.0, clientId=0, whyHeld='', mktCapPrice=0.0), fills=[], log=[TradeLogEntry(time=datetime.datetime(2026, 8, 18, 15, 1, 10, 134171, tzinfo=datetime.timezone.utc), status='PendingSubmit', message='', errorCode=0), TradeLogEntry(time=datetime.datetime(2026, 8, 18, 15, 1, 11, 146607, tzinfo=datetime.timezone.utc), status='Cancelled', message='Error 10349, reqId 15192: Order TIF was set to DAY based on order preset.', errorCode=10349)], advancedError='')
Error 10349, reqId 16844: Order TIF was set to DAY based on order preset.
Canceled order: Trade(contract=Option(conId=908218908, symbol='SPY', lastTradeDateOrContractMonth='20260818', strike=768.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   260818C00768000', tradingClass='SPY'), order=LimitOrder(orderId=16844, clientId=17, action='BUY', totalQuantity=1, lmtPrice=0.93), orderStatus=OrderStatus(orderId=16844, status='Cancelled', filled=0.0, remaining=0.0, avgFillPrice=0.0, permId=0, parentId=0, lastFillPrice=0.0, clientId=0, whyHeld='', mktCapPrice=0.0), fills=[], log=[TradeLogEntry(time=datetime.datetime(2026, 8, 18, 15, 11, 7, 797827, tzinfo=datetime.timezone.utc), status='PendingSubmit', message='', errorCode=0), TradeLogEntry(time=datetime.datetime(2026, 8, 18, 15, 11, 7, 881781, tzinfo=datetime.timezone.utc), status='Cancelled', message='Error 10349, reqId 16844: Order TIF was set to DAY based on order preset.', errorCode=10349)], advancedError='')
2026-08-18 10:18:05 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.24)
2026-08-18 10:18:05 | DATA   | cadena persistida 2026-08-18 10:18: 82 filas (fuente=live)
2026-08-18 10:19:00 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:19:05 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.79)
2026-08-18 10:19:05 | DATA   | cadena persistida 2026-08-18 10:19: 82 filas (fuente=live)
2026-08-18 10:20:00 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:20:05 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.55)
2026-08-18 10:20:05 | DATA   | cadena persistida 2026-08-18 10:20: 82 filas (fuente=live)
2026-08-18 10:21:00 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:21:04 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.68)
2026-08-18 10:21:04 | DATA   | cadena persistida 2026-08-18 10:21: 82 filas (fuente=live)
2026-08-18 10:22:04 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:22:09 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.22)
2026-08-18 10:22:09 | DATA   | cadena persistida 2026-08-18 10:22: 82 filas (fuente=live)
2026-08-18 10:23:04 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:23:09 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.21)
2026-08-18 10:23:09 | DATA   | cadena persistida 2026-08-18 10:23: 82 filas (fuente=live)
2026-08-18 10:24:04 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:24:08 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.54)
2026-08-18 10:24:08 | DATA   | cadena persistida 2026-08-18 10:24: 82 filas (fuente=live)
2026-08-18 10:25:03 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:25:08 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.81)
2026-08-18 10:25:08 | DATA   | cadena persistida 2026-08-18 10:25: 82 filas (fuente=live)
2026-08-18 10:26:03 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:26:08 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.93)
2026-08-18 10:26:08 | DATA   | cadena persistida 2026-08-18 10:26: 82 filas (fuente=live)
2026-08-18 10:27:03 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:27:07 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 769.01)
2026-08-18 10:27:07 | DATA   | cadena persistida 2026-08-18 10:27: 82 filas (fuente=live)
2026-08-18 10:28:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:28:07 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.92)
2026-08-18 10:28:07 | DATA   | cadena persistida 2026-08-18 10:28: 82 filas (fuente=live)
2026-08-18 10:29:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:29:06 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.80)
2026-08-18 10:29:06 | DATA   | cadena persistida 2026-08-18 10:29: 82 filas (fuente=live)
2026-08-18 10:30:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:30:06 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.66)
2026-08-18 10:30:06 | DATA   | cadena persistida 2026-08-18 10:30: 82 filas (fuente=live)
2026-08-18 10:31:01 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:31:06 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 769.03)
2026-08-18 10:31:06 | DATA   | cadena persistida 2026-08-18 10:31: 82 filas (fuente=live)
2026-08-18 10:32:01 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:32:06 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.93)
2026-08-18 10:32:06 | DATA   | cadena persistida 2026-08-18 10:32: 82 filas (fuente=live)
2026-08-18 10:33:01 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:33:05 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 769.19)
2026-08-18 10:33:05 | DATA   | cadena persistida 2026-08-18 10:33: 82 filas (fuente=live)
2026-08-18 10:34:00 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:34:05 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 769.10)
2026-08-18 10:34:05 | DATA   | cadena persistida 2026-08-18 10:34: 82 filas (fuente=live)
2026-08-18 10:35:00 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:35:04 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.77)
2026-08-18 10:35:04 | DATA   | cadena persistida 2026-08-18 10:35: 82 filas (fuente=live)
2026-08-18 10:36:00 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:36:04 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.99)
2026-08-18 10:36:04 | DATA   | cadena persistida 2026-08-18 10:36: 82 filas (fuente=live)
2026-08-18 10:37:04 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:37:09 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 769.04)
2026-08-18 10:37:09 | DATA   | cadena persistida 2026-08-18 10:37: 82 filas (fuente=live)
2026-08-18 10:38:04 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:38:08 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.99)
2026-08-18 10:38:08 | DATA   | cadena persistida 2026-08-18 10:38: 82 filas (fuente=live)
2026-08-18 10:39:04 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 10:39:08 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.98)
