=== NOTIF === 2026-08-18 09:09:30 | ARRANQUE | ARRANQUE del sistema vivo — 2026-08-18 (0DTE 20260818)
2026-08-18 12:14:53 | DATA   | backfill SPY: 1216 barras persistidas (fecha 2026-08-18)
2026-08-18 12:14:53 | DATA   | backfill DIA: 36 barras
2026-08-18 12:14:54 | DATA   | backfill TLT: 36 barras
2026-08-18 12:14:54 | DATA   | día anterior (2026-08-17, cierres RTH): cierre=772.64 máx=776.64 mín=772.58
2026-08-18 12:14:54 | DATA   | día anterior (cierres RTH): max=776.64 min=772.58 cierre=772.64
=== NOTIF === 2026-08-18 12:14:54 | ARRANQUE | POSICIÓN RECUPERADA de IBKR: vertical C L=767/S=769 coste=1.03 +pirámide 768 (entrada 11:01)
=== NOTIF === 2026-08-18 12:14:54 | ARRANQUE | Sistema EN MARCHA — esperando barras (todo activo)
2026-08-18 12:14:54 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:14:58 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.57)
2026-08-18 12:14:58 | DATA   | cadena persistida 2026-08-18 12:14: 82 filas (fuente=live)
2026-08-18 12:15:03 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:15:08 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.55)
2026-08-18 12:15:08 | DATA   | cadena persistida 2026-08-18 12:15: 82 filas (fuente=live)
2026-08-18 12:15:46 | DATA   | IBKR conectando a 127.0.0.1:4002 clientId=33
=== NOTIF === 2026-08-18 12:15:46 | IBKR | IBKR conectado (paper 4002)
2026-08-18 12:15:46 | DATA   | IBKR desconectado
2026-08-18 12:16:03 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:16:08 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.39)
2026-08-18 12:16:08 | DATA   | cadena persistida 2026-08-18 12:16: 82 filas (fuente=live)
2026-08-18 12:17:03 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:17:08 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.36)
2026-08-18 12:17:08 | DATA   | cadena persistida 2026-08-18 12:17: 82 filas (fuente=live)
2026-08-18 12:18:03 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:18:07 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.43)
2026-08-18 12:18:07 | DATA   | cadena persistida 2026-08-18 12:18: 82 filas (fuente=live)
2026-08-18 12:19:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:19:07 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.23)
2026-08-18 12:19:07 | DATA   | cadena persistida 2026-08-18 12:19: 82 filas (fuente=live)
2026-08-18 12:20:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:20:07 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.31)
2026-08-18 12:20:07 | DATA   | cadena persistida 2026-08-18 12:20: 82 filas (fuente=live)
2026-08-18 12:21:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:21:07 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.52)
2026-08-18 12:21:07 | DATA   | cadena persistida 2026-08-18 12:21: 82 filas (fuente=live)
2026-08-18 12:22:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:22:06 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.64)
2026-08-18 12:22:06 | DATA   | cadena persistida 2026-08-18 12:22: 82 filas (fuente=live)
2026-08-18 12:23:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:23:06 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.79)
2026-08-18 12:23:06 | DATA   | cadena persistida 2026-08-18 12:23: 82 filas (fuente=live)
2026-08-18 12:24:01 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:24:06 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.70)
2026-08-18 12:24:06 | DATA   | cadena persistida 2026-08-18 12:24: 82 filas (fuente=live)
2026-08-18 12:25:01 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:25:06 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.68)
2026-08-18 12:25:06 | DATA   | cadena persistida 2026-08-18 12:25: 82 filas (fuente=live)
2026-08-18 12:26:01 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:26:06 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.67)
2026-08-18 12:26:06 | DATA   | cadena persistida 2026-08-18 12:26: 82 filas (fuente=live)
=== NOTIF === 2026-08-18 12:26:31 | ARRANQUE | ARRANQUE del sistema vivo — 2026-08-18 (0DTE 20260818)
2026-08-18 12:26:31 | DATA   | IBKR conectando a 127.0.0.1:4002 clientId=17
=== NOTIF === 2026-08-18 12:26:31 | IBKR | IBKR conectado (paper 4002)
=== NOTIF === 2026-08-18 12:26:31 | ARRANQUE | Autocalibra: saldo=646 nivel=6 ancho=2 tope=110 unidades=1
=== NOTIF === 2026-08-18 12:26:31 | ARRANQUE | BACKFILL de arranque (SPY premarket + ETF + día anterior)
2026-08-18 12:26:31 | DATA   | backfill SPY 2 D 1 min useRTH=False
2026-08-18 12:26:31 | DATA   | backfill SPY: 1228 barras persistidas (fecha 2026-08-18)
2026-08-18 12:26:32 | DATA   | backfill DIA: 36 barras
2026-08-18 12:26:32 | DATA   | backfill TLT: 36 barras
2026-08-18 12:26:32 | DATA   | día anterior (2026-08-17, cierres RTH): cierre=772.64 máx=776.64 mín=772.58
2026-08-18 12:26:32 | DATA   | día anterior (cierres RTH): max=776.64 min=772.58 cierre=772.64
=== NOTIF === 2026-08-18 12:26:32 | ARRANQUE | POSICIÓN RECUPERADA de IBKR: vertical C L=767/S=769 coste=1.03 +pirámide 768 (entrada 11:01)
=== NOTIF === 2026-08-18 12:26:32 | ARRANQUE | Sistema EN MARCHA — esperando barras (todo activo)
2026-08-18 12:26:32 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:26:36 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.62)
2026-08-18 12:26:36 | DATA   | cadena persistida 2026-08-18 12:26: 82 filas (fuente=live)
2026-08-18 12:27:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:27:06 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.50)
2026-08-18 12:27:06 | DATA   | cadena persistida 2026-08-18 12:27: 82 filas (fuente=live)
2026-08-18 12:28:01 | DATA   | backfill SPY 120 S 1 min useRTH=False
════════════════════════════════════════════════════════════
🔔 2026-08-18 12:28:05 | ARRANQUE | ARRANQUE del sistema vivo — 2026-08-18 (0DTE 20260818)
════════════════════════════════════════════════════════════
2026-08-18 12:28:05 | DATA   | IBKR conectando a 127.0.0.1:4002 clientId=17
════════════════════════════════════════════════════════════
🔔 2026-08-18 12:28:05 | IBKR | IBKR conectado (paper 4002)
════════════════════════════════════════════════════════════
════════════════════════════════════════════════════════════
🔔 2026-08-18 12:28:05 | ARRANQUE | Autocalibra: saldo=628 nivel=6 ancho=2 tope=110 unidades=1
════════════════════════════════════════════════════════════
════════════════════════════════════════════════════════════
🔔 2026-08-18 12:28:05 | ARRANQUE | BACKFILL de arranque (SPY premarket + ETF + día anterior)
════════════════════════════════════════════════════════════
2026-08-18 12:28:05 | DATA   | backfill SPY 2 D 1 min useRTH=False
2026-08-18 12:28:05 | DATA   | backfill SPY: 1230 barras persistidas (fecha 2026-08-18)
2026-08-18 12:28:06 | DATA   | backfill DIA: 36 barras
2026-08-18 12:28:06 | DATA   | backfill TLT: 36 barras
2026-08-18 12:28:06 | DATA   | día anterior (2026-08-17, cierres RTH): cierre=772.64 máx=776.64 mín=772.58
2026-08-18 12:28:06 | DATA   | día anterior (cierres RTH): max=776.64 min=772.58 cierre=772.64
════════════════════════════════════════════════════════════
🔔 2026-08-18 12:28:06 | ARRANQUE | POSICIÓN RECUPERADA de IBKR: vertical C L=767/S=769 coste=1.03 +pirámide 768 (entrada 11:01)
════════════════════════════════════════════════════════════
════════════════════════════════════════════════════════════
🔔 2026-08-18 12:28:06 | ARRANQUE | Sistema EN MARCHA — esperando barras (todo activo)
════════════════════════════════════════════════════════════
2026-08-18 12:28:06 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:28:10 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.32)
2026-08-18 12:28:10 | DATA   | cadena persistida 2026-08-18 12:28: 82 filas (fuente=live)
2026-08-18 12:29:00 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:29:05 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.17)
2026-08-18 12:29:05 | DATA   | cadena persistida 2026-08-18 12:29: 82 filas (fuente=live)
2026-08-18 12:30:00 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:30:05 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.21)
2026-08-18 12:30:05 | DATA   | cadena persistida 2026-08-18 12:30: 82 filas (fuente=live)
2026-08-18 12:31:00 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:31:04 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.23)
2026-08-18 12:31:04 | DATA   | cadena persistida 2026-08-18 12:31: 82 filas (fuente=live)
2026-08-18 12:32:04 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:32:09 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.15)
2026-08-18 12:32:09 | DATA   | cadena persistida 2026-08-18 12:32: 82 filas (fuente=live)
2026-08-18 12:33:04 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:33:09 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.31)
2026-08-18 12:33:09 | DATA   | cadena persistida 2026-08-18 12:33: 82 filas (fuente=live)
2026-08-18 12:34:04 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:34:09 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.23)
2026-08-18 12:34:09 | DATA   | cadena persistida 2026-08-18 12:34: 82 filas (fuente=live)
2026-08-18 12:35:04 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:35:08 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.31)
2026-08-18 12:35:08 | DATA   | cadena persistida 2026-08-18 12:35: 82 filas (fuente=live)
2026-08-18 12:36:04 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:36:08 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.25)
2026-08-18 12:36:08 | DATA   | cadena persistida 2026-08-18 12:36: 82 filas (fuente=live)
2026-08-18 12:37:03 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:37:08 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.23)
2026-08-18 12:37:08 | DATA   | cadena persistida 2026-08-18 12:37: 82 filas (fuente=live)
2026-08-18 12:38:03 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:38:08 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.33)
2026-08-18 12:38:08 | DATA   | cadena persistida 2026-08-18 12:38: 82 filas (fuente=live)
2026-08-18 12:39:03 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:39:07 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.47)
2026-08-18 12:39:07 | DATA   | cadena persistida 2026-08-18 12:39: 82 filas (fuente=live)
2026-08-18 12:40:03 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:40:07 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.46)
2026-08-18 12:40:07 | DATA   | cadena persistida 2026-08-18 12:40: 82 filas (fuente=live)
2026-08-18 12:41:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:41:07 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.50)
2026-08-18 12:41:07 | DATA   | cadena persistida 2026-08-18 12:41: 82 filas (fuente=live)
2026-08-18 12:42:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:42:07 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.47)
2026-08-18 12:42:07 | DATA   | cadena persistida 2026-08-18 12:42: 82 filas (fuente=live)
2026-08-18 12:43:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:43:06 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.37)
2026-08-18 12:43:06 | DATA   | cadena persistida 2026-08-18 12:43: 82 filas (fuente=live)
2026-08-18 12:44:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:44:06 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.26)
2026-08-18 12:44:06 | DATA   | cadena persistida 2026-08-18 12:44: 82 filas (fuente=live)
2026-08-18 12:45:01 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:45:06 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.37)
2026-08-18 12:45:06 | DATA   | cadena persistida 2026-08-18 12:45: 82 filas (fuente=live)
2026-08-18 12:46:01 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:46:06 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.22)
2026-08-18 12:46:06 | DATA   | cadena persistida 2026-08-18 12:46: 82 filas (fuente=live)
2026-08-18 12:47:01 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:47:06 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.59)
2026-08-18 12:47:06 | DATA   | cadena persistida 2026-08-18 12:47: 82 filas (fuente=live)
2026-08-18 12:48:01 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:48:05 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.59)
2026-08-18 12:48:05 | DATA   | cadena persistida 2026-08-18 12:48: 82 filas (fuente=live)
2026-08-18 12:49:00 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:49:05 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.84)
2026-08-18 12:49:05 | DATA   | cadena persistida 2026-08-18 12:49: 82 filas (fuente=live)
2026-08-18 12:50:00 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:50:05 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.77)
2026-08-18 12:50:05 | DATA   | cadena persistida 2026-08-18 12:50: 82 filas (fuente=live)
2026-08-18 12:51:00 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:51:04 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.81)
2026-08-18 12:51:04 | DATA   | cadena persistida 2026-08-18 12:51: 82 filas (fuente=live)
2026-08-18 12:52:00 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:52:04 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.77)
2026-08-18 12:52:04 | DATA   | cadena persistida 2026-08-18 12:52: 82 filas (fuente=live)
2026-08-18 12:53:04 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:53:09 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.70)
2026-08-18 12:53:09 | DATA   | cadena persistida 2026-08-18 12:53: 82 filas (fuente=live)
2026-08-18 12:54:04 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:54:09 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.81)
2026-08-18 12:54:09 | DATA   | cadena persistida 2026-08-18 12:54: 82 filas (fuente=live)
2026-08-18 12:55:04 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:55:09 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.83)
2026-08-18 12:55:09 | DATA   | cadena persistida 2026-08-18 12:55: 82 filas (fuente=live)
2026-08-18 12:56:04 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:56:09 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.66)
2026-08-18 12:56:09 | DATA   | cadena persistida 2026-08-18 12:56: 82 filas (fuente=live)
2026-08-18 12:57:04 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:57:08 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.69)
2026-08-18 12:57:08 | DATA   | cadena persistida 2026-08-18 12:57: 82 filas (fuente=live)
2026-08-18 12:58:03 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:58:08 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.66)
2026-08-18 12:58:08 | DATA   | cadena persistida 2026-08-18 12:58: 82 filas (fuente=live)
2026-08-18 12:59:03 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 12:59:08 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.66)
2026-08-18 12:59:08 | DATA   | cadena persistida 2026-08-18 12:59: 82 filas (fuente=live)
2026-08-18 13:00:03 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 13:00:07 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.63)
2026-08-18 13:00:07 | DATA   | cadena persistida 2026-08-18 13:00: 82 filas (fuente=live)
2026-08-18 13:01:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 13:01:07 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.52)
2026-08-18 13:01:07 | DATA   | cadena persistida 2026-08-18 13:01: 82 filas (fuente=live)
2026-08-18 13:02:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 13:02:07 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.40)
2026-08-18 13:02:07 | DATA   | cadena persistida 2026-08-18 13:02: 82 filas (fuente=live)
2026-08-18 13:03:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 13:03:06 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.58)
2026-08-18 13:03:06 | DATA   | cadena persistida 2026-08-18 13:03: 82 filas (fuente=live)
2026-08-18 13:04:01 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 13:04:06 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.67)
2026-08-18 13:04:06 | DATA   | cadena persistida 2026-08-18 13:04: 82 filas (fuente=live)
2026-08-18 13:05:01 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 13:05:06 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.55)
2026-08-18 13:05:06 | DATA   | cadena persistida 2026-08-18 13:05: 82 filas (fuente=live)
2026-08-18 13:06:01 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 13:06:06 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.55)
2026-08-18 13:06:06 | DATA   | cadena persistida 2026-08-18 13:06: 82 filas (fuente=live)
2026-08-18 13:07:01 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 13:07:05 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.53)
2026-08-18 13:07:05 | DATA   | cadena persistida 2026-08-18 13:07: 82 filas (fuente=live)
2026-08-18 13:08:00 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 13:08:05 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.48)
2026-08-18 13:08:05 | DATA   | cadena persistida 2026-08-18 13:08: 82 filas (fuente=live)
2026-08-18 13:09:00 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 13:09:05 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.61)
2026-08-18 13:09:05 | DATA   | cadena persistida 2026-08-18 13:09: 82 filas (fuente=live)
2026-08-18 13:10:00 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 13:10:04 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.76)
2026-08-18 13:10:04 | DATA   | cadena persistida 2026-08-18 13:10: 82 filas (fuente=live)
2026-08-18 13:11:04 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 13:11:09 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.67)
2026-08-18 13:11:09 | DATA   | cadena persistida 2026-08-18 13:11: 82 filas (fuente=live)
2026-08-18 13:12:04 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 13:12:08 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.52)
2026-08-18 13:12:08 | DATA   | cadena persistida 2026-08-18 13:12: 82 filas (fuente=live)
2026-08-18 13:13:04 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 13:13:08 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.70)
2026-08-18 13:13:08 | DATA   | cadena persistida 2026-08-18 13:13: 82 filas (fuente=live)
2026-08-18 13:14:03 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 13:14:08 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.61)
2026-08-18 13:14:08 | DATA   | cadena persistida 2026-08-18 13:14: 82 filas (fuente=live)
2026-08-18 13:15:03 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 13:15:08 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.62)
2026-08-18 13:15:08 | DATA   | cadena persistida 2026-08-18 13:15: 82 filas (fuente=live)
2026-08-18 13:16:03 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 13:16:07 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.46)
2026-08-18 13:16:07 | DATA   | cadena persistida 2026-08-18 13:16: 82 filas (fuente=live)
2026-08-18 13:17:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 13:17:07 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.41)
2026-08-18 13:17:07 | DATA   | cadena persistida 2026-08-18 13:17: 82 filas (fuente=live)
2026-08-18 13:18:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 13:18:07 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.41)
2026-08-18 13:18:07 | DATA   | cadena persistida 2026-08-18 13:18: 82 filas (fuente=live)
2026-08-18 13:19:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 13:19:06 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.37)
2026-08-18 13:19:06 | DATA   | cadena persistida 2026-08-18 13:19: 82 filas (fuente=live)
2026-08-18 13:20:01 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 13:20:11 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.30)
2026-08-18 13:20:11 | DATA   | cadena persistida 2026-08-18 13:20: 82 filas (fuente=live)
2026-08-18 13:21:01 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 13:21:06 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.35)
2026-08-18 13:21:06 | DATA   | cadena persistida 2026-08-18 13:21: 82 filas (fuente=live)
2026-08-18 13:22:01 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 13:22:06 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.48)
2026-08-18 13:22:06 | DATA   | cadena persistida 2026-08-18 13:22: 82 filas (fuente=live)
2026-08-18 13:23:03 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 13:23:08 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.37)
2026-08-18 13:23:08 | DATA   | cadena persistida 2026-08-18 13:23: 82 filas (fuente=live)
2026-08-18 13:24:03 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 13:24:08 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.31)
2026-08-18 13:24:08 | DATA   | cadena persistida 2026-08-18 13:24: 82 filas (fuente=live)
2026-08-18 13:25:03 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 13:25:07 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.26)
2026-08-18 13:25:07 | DATA   | cadena persistida 2026-08-18 13:25: 82 filas (fuente=live)
2026-08-18 13:26:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 13:26:07 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.09)
2026-08-18 13:26:07 | DATA   | cadena persistida 2026-08-18 13:26: 82 filas (fuente=live)
2026-08-18 13:27:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 13:27:07 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.16)
2026-08-18 13:27:07 | DATA   | cadena persistida 2026-08-18 13:27: 82 filas (fuente=live)
2026-08-18 13:28:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 13:28:06 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.12)
2026-08-18 13:28:06 | DATA   | cadena persistida 2026-08-18 13:28: 82 filas (fuente=live)
════════════════════════════════════════════════════════════
🔔 2026-08-18 13:28:07 | ARRANQUE | RECALIBRA 13:28: saldo=590 nivel 6->5 tope 110->90 unidades 1->1 (ancho FIJO 2)
════════════════════════════════════════════════════════════
2026-08-18 13:29:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 13:29:06 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.22)
2026-08-18 13:29:06 | DATA   | cadena persistida 2026-08-18 13:29: 82 filas (fuente=live)
2026-08-18 13:30:01 | DATA   | backfill SPY 120 S 1 min useRTH=False
