RECORRIDO DE CIERRES DE 2 EN 2  -  todas las velas, de inicio a fin
========================================================================================
fuente: spy_velas.db   dias: 2026-08-11, 2026-08-12, 2026-08-13

delta      = close[i] - close[i-1]   (el diferencial de cada par)
recorrido  = suma acumulada de |delta|  -> lo que el precio ANDUVO desde la apertura
neto       = close[i] - close[apertura] -> lo que el precio AVANZO desde la apertura

########################################################################################
# 1) PARES DESLIZANTES: cada vela contra la anterior
########################################################################################

=== 2026-08-11 ===   390 velas
  hora     open    close    delta  color  recorrido     neto
 15:32   770.76   770.61    -0.15   ROJA      37.17    -3.33
 15:33   770.60   770.69    +0.08  VERDE      37.25    -3.25
 15:34   770.68   770.80    +0.11  VERDE      37.36    -3.14
 15:35   770.79   770.79    -0.01   DOJI      37.37    -3.15
 15:36   770.79   770.96    +0.17  VERDE      37.54    -2.98
 15:37   770.95   770.92    -0.04   ROJA      37.58    -3.02
 15:38   770.91   771.08    +0.16  VERDE      37.74    -2.86
 15:39   771.09   771.05    -0.03   ROJA      37.77    -2.89
 15:40   771.07   770.96    -0.09   ROJA      37.86    -2.98
 15:41   770.96   770.90    -0.06   ROJA      37.92    -3.04
 15:42   770.89   770.77    -0.13   ROJA      38.05    -3.17
 15:43   770.76   770.81    +0.04  VERDE      38.09    -3.13
 15:44   770.80   770.72    -0.09   ROJA      38.18    -3.22
 15:45   770.72   770.47    -0.25   ROJA      38.43    -3.47
 15:46   770.47   770.52    +0.05  VERDE      38.48    -3.42
 15:47   770.52   770.48    -0.04   ROJA      38.52    -3.46
 15:48   770.47   770.34    -0.14   ROJA      38.66    -3.60
 15:49   770.35   770.38    +0.04  VERDE      38.70    -3.56
 15:50   770.39   770.07    -0.31   ROJA      39.01    -3.87
 15:51   770.06   770.13    +0.06  VERDE      39.07    -3.81
 15:52   770.13   769.91    -0.22   ROJA      39.29    -4.03
 15:53   769.91   769.96    +0.05  VERDE      39.34    -3.98
 15:54   769.96   770.40    +0.44  VERDE      39.78    -3.54
 15:55   770.41   770.24    -0.16   ROJA      39.94    -3.70
 15:56   770.23   770.15    -0.09   ROJA      40.03    -3.79
 15:57   770.17   770.08    -0.07   ROJA      40.10    -3.86
 15:58   770.08   770.33    +0.25  VERDE      40.35    -3.61
 15:59   770.33   770.47    +0.14  VERDE      40.49    -3.47

  RESUMEN 2026-08-11
    velas=390  pares=389
    recorrido total (suma|delta|) =    40.49 puntos
    neto (close_fin - close_ini)  =    -3.47 puntos
    eficiencia |neto|/recorrido   =    0.086
    |delta| medio=0.1041  mediana=0.0800  max=0.44
    pares al alza=173 (suman +18.51)  a la baja=199 (suman -21.98)  planos=17

=== 2026-08-12 ===   390 velas
  hora     open    close    delta  color  recorrido     neto
 09:30   774.70   773.87        -      -       0.00     0.00
 09:31   773.86   773.11    -0.76   ROJA       0.76    -0.76
 09:32   773.14   772.80    -0.31   ROJA       1.07    -1.07
 09:33   772.78   773.04    +0.24  VERDE       1.31    -0.83
 09:34   773.02   773.07    +0.03  VERDE       1.34    -0.80
 09:35   773.05   773.15    +0.08  VERDE       1.42    -0.72
 09:36   773.13   773.36    +0.21  VERDE       1.63    -0.51
 09:37   773.38   773.04    -0.32   ROJA       1.95    -0.83
 09:38   773.03   773.02    -0.02   ROJA       1.97    -0.85
 09:39   773.04   772.88    -0.14   ROJA       2.11    -0.99
 09:40   772.89   772.71    -0.17   ROJA       2.28    -1.16
 09:41   772.70   773.01    +0.30  VERDE       2.58    -0.86
 09:42   772.99   772.93    -0.08   ROJA       2.66    -0.94
 09:43   772.94   772.90    -0.03   ROJA       2.69    -0.97
 09:44   772.89   772.81    -0.09   ROJA       2.78    -1.06
 09:45   772.82   772.75    -0.06   ROJA       2.84    -1.12
 09:46   772.75   772.58    -0.17   ROJA       3.01    -1.29
