PREMIUM NETO POR STRIKE Y POR MINUTO — 2026-08-11 — expiry 0DTE 20260811
neto = COMPRAS - VENTAS (por agresor, quien cruzo el spread), en MILES de $
Positivo = entro dinero comprando ese strike. Negativo = se vendio.
MID k$ = dinero que se cruzo dentro del spread y NO se puede atribuir.
Cobertura: 6 strikes (los de SENAL, que rotan con el precio). La banda NO entra.

┌──────────┬─────────────┬─────────────┬─────────────┬─────────────┬─────────────┬─────────────┬─────────────┬─────────────┬─────────────┬────────────┬───────────┐
│   MINUTO │        769C │        770C │        771C │        770P │        771P │        772P │    TOT CALL │     TOT PUT │       C - P │     MID k$ │       SPY │
│    15:27 │             │         -37 │             │             │         +10 │             │         -37 │         +10 │         -47 │         30 │    770.52 │
│    15:28 │             │         -13 │             │             │          -4 │             │         -13 │          -4 │          -8 │         39 │    770.66 │
│    15:29 │             │         -68 │             │             │         -38 │             │         -68 │         -38 │         -31 │         20 │    770.63 │
│    15:30 │             │         -32 │             │             │         -22 │             │         -32 │         -22 │         -10 │        102 │    770.69 │
│    15:31 │             │         -58 │             │             │         -16 │             │         -58 │         -16 │         -42 │         12 │    770.76 │
│    15:32 │             │         +33 │             │             │         -27 │             │         +33 │         -27 │         +60 │         50 │    770.61 │
│    15:33 │             │          +5 │             │             │         -12 │             │          +5 │         -12 │         +18 │         65 │    770.69 │
│    15:34 │             │         +20 │             │             │         -13 │             │         +20 │         -13 │         +33 │         23 │    770.80 │
│    15:35 │             │         +11 │             │             │         +18 │             │         +11 │         +18 │          -7 │         27 │    770.80 │
│    15:36 │             │         -31 │             │             │         +24 │             │         -31 │         +24 │         -55 │         96 │    770.96 │
│    15:37 │             │          +4 │         -15 │             │         +29 │         +17 │         -10 │         +47 │         -57 │         20 │    770.93 │
│    15:38 │             │          +2 │         -14 │             │        +137 │         +11 │         -12 │        +148 │        -160 │          7 │    771.08 │
│    15:39 │             │             │         -36 │             │             │          +1 │         -36 │          +1 │         -37 │          2 │           │
├──────────┼─────────────┼─────────────┼─────────────┼─────────────┼─────────────┼─────────────┼─────────────┼─────────────┼─────────────┼────────────┼───────────┤
│    TOTAL │        +100 │       -1273 │         -65 │        +113 │        +787 │         +29 │       -1239 │        +929 │       -2168 │       2231 │           │
└──────────┴─────────────┴─────────────┴─────────────┴─────────────┴─────────────┴─────────────┴─────────────┴─────────────┴─────────────┴────────────┴───────────┘
