PREMIUM POR MINUTO vs PRECIO DEL SPY  —  2026-08-11  —  expiry 0DTE 20260811
Rejilla completa 09:30 -> 16:13 = 404 minutos | con dato 373 | sin dato 31
B = ese minuto incluye la banda (3 min de golpe).  Vacio = sin lectura ese minuto.
Importes en DOLARES, premium BRUTO (no distingue comprador de vendedor).

┌──────────┬─────┬────────────────┬────────────────┬────────────────┬───────────┬────────┬────────┬─────────┬──────────┬────────┬──────────┬──────────┬──────────┬──────────┬──────────┬──────────┬──────────┬──────────┐
│   MINUTO │   B │           CALL │            PUT │          C - P │       SPY │    RSI │  SCORE │     DIR │    MACDh │   ATR% │     VWAP │      OBV │     EMA8 │    EMA21 │    EMA50 │    SMA20 │    SMA50 │   SMA200 │
│    10:23 │     │         199587 │         116923 │         +82664 │    773.56 │   42.3 │     -4 │    BEAR │   -0.037 │   0.03 │   773.65 │  bearish │   773.63 │   773.64 │   773.61 │          │          │          │
│    10:24 │   B │         941397 │        1190169 │        -248772 │    773.41 │   36.9 │     -4 │    BEAR │   -0.046 │   0.03 │   773.61 │  bearish │   773.58 │   773.62 │   773.60 │          │          │          │
│    10:25 │     │         169586 │         184656 │         -15070 │    773.55 │   44.8 │     -6 │    BEAR │   -0.041 │   0.03 │   773.56 │  bearish │   773.57 │   773.62 │   773.60 │          │          │          │
│    10:26 │     │         176451 │          87939 │         +88512 │    773.52 │   44.5 │     -6 │    BEAR │   -0.037 │   0.03 │   773.52 │  bearish │   773.56 │   773.61 │   773.59 │          │          │          │
│    10:27 │   B │        1494485 │        1468357 │         +26128 │    773.50 │   44.2 │     -6 │    BEAR │   -0.035 │   0.03 │   773.51 │  bearish │   773.55 │   773.60 │   773.59 │          │          │          │
│    10:28 │     │         256782 │          93622 │        +163160 │    773.81 │   50.8 │     -3 │    BEAR │   -0.012 │   0.03 │   773.54 │  bullish │   773.61 │   773.62 │   773.60 │          │          │          │
│    10:29 │     │         382626 │         148285 │        +234341 │    773.87 │   49.7 │      3 │    BULL │    0.007 │   0.03 │   773.61 │  bullish │   773.66 │   773.64 │   773.61 │          │          │          │
│    10:30 │   B │        2102874 │        1384555 │        +718319 │    773.52 │   43.3 │      0 │ NEUTRAL │   -0.004 │   0.03 │   773.65 │  bullish │   773.63 │   773.63 │   773.61 │          │          │          │
│    10:31 │     │         231771 │         124029 │        +107742 │    773.56 │   52.5 │     -5 │    BEAR │   -0.008 │   0.03 │   773.66 │  bullish │   773.62 │   773.62 │   773.60 │          │          │          │
│    10:32 │     │          74292 │          47998 │         +26294 │    773.57 │   50.6 │     -5 │    BEAR │   -0.010 │   0.03 │   773.66 │  bullish │   773.61 │   773.62 │   773.60 │          │          │          │
│    10:33 │   B │        1031506 │         923674 │        +107832 │    773.62 │   49.7 │     -5 │    BEAR │   -0.007 │   0.03 │   773.65 │  bullish │   773.61 │   773.62 │   773.60 │          │          │          │
│    10:34 │     │          93236 │          48105 │         +45131 │    773.67 │   45.9 │     -3 │    BEAR │   -0.002 │   0.03 │   773.61 │  bullish │   773.62 │   773.62 │   773.61 │          │          │          │
│    10:35 │     │         146268 │          53300 │         +92968 │    773.70 │   50.7 │      5 │    BULL │    0.003 │   0.03 │   773.61 │  bullish │   773.64 │   773.63 │   773.61 │          │          │          │
│    10:36 │   B │        1012144 │         654589 │        +357555 │    773.71 │   58.3 │      4 │    BULL │    0.007 │   0.03 │   773.64 │  bullish │   773.66 │   773.64 │   773.61 │          │          │          │
│    10:37 │   B │         102212 │         121964 │         -19752 │    773.41 │   45.2 │     -3 │    BEAR │   -0.013 │   0.03 │   773.62 │  bullish │   773.60 │   773.61 │   773.54 │   773.61 │   773.55 │   773.09 │
│    10:38 │     │         739310 │         295920 │        +443390 │    773.35 │   47.9 │     -4 │    BEAR │   -0.027 │   0.03 │   773.56 │  neutral │   773.55 │   773.59 │   773.53 │   773.60 │   773.56 │   773.09 │
│    10:39 │     │         131688 │         116242 │         +15446 │    773.35 │   42.4 │     -3 │    BEAR │   -0.035 │   0.03 │   773.52 │  neutral │   773.50 │   773.57 │   773.52 │   773.58 │   773.57 │   773.09 │
│    10:40 │   B │        2286518 │        1838957 │        +447561 │    773.52 │   50.0 │     -3 │    BEAR │   -0.027 │   0.03 │   773.47 │  bullish │   773.51 │   773.56 │   773.52 │   773.57 │   773.59 │   773.10 │
│    10:41 │     │         135566 │          84487 │         +51079 │    773.58 │   52.7 │     -3 │    BEAR │   -0.016 │   0.03 │   773.44 │  bullish │   773.52 │   773.57 │   773.52 │   773.56 │   773.61 │   773.10 │
│    10:42 │     │         121602 │         141871 │         -20269 │    773.53 │   38.7 │     -3 │    BEAR │   -0.012 │   0.03 │   773.43 │  neutral │   773.52 │   773.56 │   773.52 │   773.57 │   773.61 │   773.11 │
│    10:43 │   B │        1090843 │        1506954 │        -416111 │    773.41 │   32.3 │     -4 │    BEAR │   -0.016 │   0.03 │   773.46 │  neutral │   773.50 │   773.55 │   773.52 │   773.56 │   773.62 │   773.11 │
│    10:44 │     │         132740 │         101787 │         +30953 │    773.37 │   42.4 │     -4 │    BEAR │   -0.020 │   0.03 │   773.46 │  bearish │   773.47 │   773.53 │   773.51 │   773.56 │   773.63 │   773.12 │
│    10:45 │     │         138939 │          93826 │         +45113 │    773.58 │   50.9 │     -4 │    BEAR │   -0.008 │   0.03 │   773.47 │  neutral │   773.49 │   773.54 │   773.52 │   773.56 │   773.64 │   773.12 │
│    10:46 │   B │        1946141 │        1241869 │        +704272 │    773.74 │   56.5 │     -1 │    BEAR │    0.010 │   0.03 │   773.50 │  neutral │   773.55 │   773.56 │   773.53 │   773.57 │   773.65 │   773.13 │
│    10:47 │     │          84558 │          81038 │          +3520 │    773.77 │   55.8 │      1 │    BULL │    0.023 │   0.03 │   773.55 │  neutral │   773.60 │   773.57 │   773.54 │   773.58 │   773.66 │   773.13 │
│    10:48 │     │         333011 │         168126 │        +164885 │    773.90 │   58.4 │      1 │    BULL │    0.039 │   0.03 │   773.63 │  neutral │   773.67 │   773.60 │   773.55 │   773.59 │   773.67 │   773.14 │
│    10:49 │   B │        2710817 │        2252766 │        +458051 │    773.90 │   57.5 │      1 │    BULL │    0.047 │   0.03 │   773.73 │  neutral │   773.72 │   773.63 │   773.56 │   773.59 │   773.67 │   773.14 │
│    10:50 │     │         270983 │         222412 │         +48571 │    773.53 │   44.7 │      3 │    BULL │    0.025 │   0.03 │   773.76 │  neutral │   773.68 │   773.62 │   773.56 │   773.59 │   773.66 │   773.15 │
│    10:51 │     │         893047 │         103716 │        +789331 │    773.87 │   63.2 │      1 │    BULL │    0.032 │   0.03 │   773.77 │  neutral │   773.72 │   773.64 │   773.57 │   773.60 │   773.66 │   773.15 │
│    10:52 │   B │        2144513 │        1314190 │        +830323 │    773.98 │   67.6 │      1 │    BULL │    0.042 │   0.03 │   773.81 │  bullish │   773.78 │   773.68 │   773.59 │   773.62 │   773.66 │   773.16 │
│    10:53 │     │         257797 │         268879 │         -11082 │    773.67 │   57.6 │      1 │    BULL │    0.026 │   0.03 │   773.79 │  neutral │   773.75 │   773.67 │   773.59 │   773.63 │   773.66 │   773.16 │
